group,n,mean_score,median_score,std_score,min_score,max_score
Overall,34,0.5625,0.6022,0.1726,0.0,0.7638
Sector: Technology,34,0.5625,0.6022,0.1726,0.0,0.7638
Year: 2016,4,0.384,0.3458,0.293,0.0806,0.7638
Year: 2017,4,0.3395,0.424,0.237,0.0,0.5099
Year: 2018,2,0.6084,0.6084,0.0779,0.5534,0.6635
Year: 2019,4,0.6544,0.6546,0.06,0.5916,0.7166
Year: 2020,3,0.6341,0.6025,0.0701,0.5854,0.7144
Year: 2021,3,0.6068,0.6018,0.0389,0.5706,0.6479
Year: 2022,4,0.6226,0.6043,0.0583,0.5774,0.7046
Year: 2023,5,0.5625,0.5499,0.1153,0.426,0.6828
Year: 2024,5,0.6739,0.68,0.0202,0.6487,0.6954
